               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.18627,           0.0062829,            0.082435,             0.62476,           0.0098014,           0.0011519,          0.00024115,             0.16967,           0.0063784,            0.079693,             0.00255,             0.00255,             0.07705
                   1,             0.14831,            0.011194,            0.079049,              0.4849,            0.048562,             0.01155,           0.0040144,             0.13469,            0.010141,             0.07649,           0.0051097,           0.0051097,             0.05401
                   2,             0.13416,            0.012082,            0.077705,             0.40657,              0.1013,            0.021918,           0.0074538,             0.12393,            0.010062,            0.075336,           0.0076683,           0.0076683,            0.030968
                   3,             0.12427,            0.012055,            0.076488,             0.63626,            0.083193,            0.029702,             0.01176,             0.11036,            0.010225,            0.073617,            0.009995,            0.009995,            0.009995
                   4,             0.11682,            0.012089,            0.074936,             0.38873,             0.16531,            0.052316,             0.02332,             0.10772,           0.0095923,            0.071726,            0.009995,            0.009995,            0.009995
                   5,             0.11055,            0.011874,            0.072276,             0.34595,             0.18221,            0.071539,            0.035475,            0.099678,            0.010298,            0.068768,           0.0099911,           0.0099911,           0.0099911
                   6,             0.10754,            0.011869,            0.070697,             0.38091,              0.2176,            0.082941,            0.038565,             0.10053,           0.0099055,            0.068118,           0.0099861,           0.0099861,           0.0099861
                   7,             0.10461,            0.011754,            0.067681,             0.27642,             0.32052,             0.10464,            0.051282,             0.09616,           0.0098187,            0.063088,             0.00998,             0.00998,             0.00998
                   8,             0.10338,              0.0118,            0.065909,              0.3056,             0.27208,             0.12192,            0.057497,            0.094065,            0.009918,            0.061311,           0.0099728,           0.0099728,           0.0099728
                   9,             0.10017,            0.011824,            0.062844,             0.43974,             0.22911,             0.14482,            0.071698,            0.091078,            0.010398,            0.058572,           0.0099645,           0.0099645,           0.0099645
                  10,            0.099184,             0.01152,            0.061995,             0.34507,             0.24036,             0.13421,            0.070139,             0.09086,            0.009648,            0.057689,           0.0099551,           0.0099551,           0.0099551
                  11,             0.09835,            0.011406,            0.061077,             0.30312,              0.3086,             0.14819,             0.07298,            0.089538,           0.0093945,            0.056181,           0.0099446,           0.0099446,           0.0099446
                  12,            0.096929,            0.011485,             0.06004,             0.31924,             0.28113,             0.14347,            0.076857,            0.088372,           0.0093495,            0.058906,            0.009933,            0.009933,            0.009933
                  13,            0.095042,            0.011473,            0.059202,              0.4986,             0.25388,             0.17014,            0.093554,            0.085913,           0.0091439,             0.05468,           0.0099203,           0.0099203,           0.0099203
                  14,            0.094455,            0.011345,            0.059145,             0.31051,             0.36486,             0.18765,             0.10398,            0.084422,           0.0090078,            0.053732,           0.0099065,           0.0099065,           0.0099065
                  15,            0.094297,            0.011368,             0.05787,             0.41746,             0.29137,             0.19433,             0.10496,            0.084283,           0.0089402,            0.053553,           0.0098916,           0.0098916,           0.0098916
                  16,            0.092951,            0.011281,             0.05752,             0.49311,             0.26444,             0.20087,             0.10681,            0.084351,           0.0096805,            0.053605,           0.0098757,           0.0098757,           0.0098757
                  17,            0.093019,            0.011523,            0.056678,             0.30539,             0.35771,              0.2098,             0.11711,            0.083268,           0.0091617,            0.052124,           0.0098586,           0.0098586,           0.0098586
                  18,            0.092493,            0.011299,            0.056519,             0.31762,             0.33276,             0.21195,             0.12172,            0.082356,            0.008922,            0.051644,           0.0098405,           0.0098405,           0.0098405
